Time	Node	Type	Packets	
1	100	CacheHits	31
1	100	CacheMisses	40
1	101	CacheHits	11
1	101	CacheMisses	44
1	102	CacheHits	0
1	102	CacheMisses	39
1	103	CacheHits	150
1	103	CacheMisses	83
2	100	CacheHits	0
2	100	CacheMisses	0
2	101	CacheHits	0
2	101	CacheMisses	0
2	102	CacheHits	0
2	102	CacheMisses	0
2	103	CacheHits	0
2	103	CacheMisses	0
3	100	CacheHits	0
3	100	CacheMisses	0
3	101	CacheHits	0
3	101	CacheMisses	0
3	102	CacheHits	0
3	102	CacheMisses	0
3	103	CacheHits	0
3	103	CacheMisses	0
4	100	CacheHits	0
4	100	CacheMisses	0
4	101	CacheHits	0
4	101	CacheMisses	0
4	102	CacheHits	0
4	102	CacheMisses	0
4	103	CacheHits	0
4	103	CacheMisses	0
5	100	CacheHits	0
5	100	CacheMisses	0
5	101	CacheHits	0
5	101	CacheMisses	0
5	102	CacheHits	0
5	102	CacheMisses	0
5	103	CacheHits	0
5	103	CacheMisses	0
6	100	CacheHits	0
6	100	CacheMisses	0
6	101	CacheHits	0
6	101	CacheMisses	0
6	102	CacheHits	0
6	102	CacheMisses	0
6	103	CacheHits	0
6	103	CacheMisses	0
7	100	CacheHits	0
7	100	CacheMisses	0
7	101	CacheHits	0
7	101	CacheMisses	0
7	102	CacheHits	0
7	102	CacheMisses	0
7	103	CacheHits	0
7	103	CacheMisses	0
8	100	CacheHits	0
8	100	CacheMisses	0
8	101	CacheHits	0
8	101	CacheMisses	0
8	102	CacheHits	0
8	102	CacheMisses	0
8	103	CacheHits	0
8	103	CacheMisses	0
9	100	CacheHits	0
9	100	CacheMisses	0
9	101	CacheHits	0
9	101	CacheMisses	0
9	102	CacheHits	0
9	102	CacheMisses	0
9	103	CacheHits	0
9	103	CacheMisses	0
10	100	CacheHits	0
10	100	CacheMisses	0
10	101	CacheHits	0
10	101	CacheMisses	0
10	102	CacheHits	0
10	102	CacheMisses	0
10	103	CacheHits	0
10	103	CacheMisses	0
11	100	CacheHits	0
11	100	CacheMisses	0
11	101	CacheHits	0
11	101	CacheMisses	0
11	102	CacheHits	0
11	102	CacheMisses	0
11	103	CacheHits	0
11	103	CacheMisses	0
12	100	CacheHits	0
12	100	CacheMisses	0
12	101	CacheHits	0
12	101	CacheMisses	0
12	102	CacheHits	0
12	102	CacheMisses	0
12	103	CacheHits	0
12	103	CacheMisses	0
13	100	CacheHits	0
13	100	CacheMisses	0
13	101	CacheHits	0
13	101	CacheMisses	0
13	102	CacheHits	0
13	102	CacheMisses	0
13	103	CacheHits	0
13	103	CacheMisses	0
14	100	CacheHits	0
14	100	CacheMisses	0
14	101	CacheHits	0
14	101	CacheMisses	0
14	102	CacheHits	0
14	102	CacheMisses	0
14	103	CacheHits	0
14	103	CacheMisses	0
15	100	CacheHits	0
15	100	CacheMisses	0
15	101	CacheHits	0
15	101	CacheMisses	0
15	102	CacheHits	0
15	102	CacheMisses	0
15	103	CacheHits	0
15	103	CacheMisses	0
16	100	CacheHits	0
16	100	CacheMisses	0
16	101	CacheHits	0
16	101	CacheMisses	0
16	102	CacheHits	0
16	102	CacheMisses	0
16	103	CacheHits	0
16	103	CacheMisses	0
17	100	CacheHits	0
17	100	CacheMisses	0
17	101	CacheHits	0
17	101	CacheMisses	0
17	102	CacheHits	0
17	102	CacheMisses	0
17	103	CacheHits	0
17	103	CacheMisses	0
18	100	CacheHits	0
18	100	CacheMisses	0
18	101	CacheHits	0
18	101	CacheMisses	0
18	102	CacheHits	0
18	102	CacheMisses	0
18	103	CacheHits	0
18	103	CacheMisses	0
19	100	CacheHits	0
19	100	CacheMisses	0
19	101	CacheHits	0
19	101	CacheMisses	0
19	102	CacheHits	0
19	102	CacheMisses	0
19	103	CacheHits	0
19	103	CacheMisses	0
20	100	CacheHits	0
20	100	CacheMisses	0
20	101	CacheHits	0
20	101	CacheMisses	0
