Time	Node	Type	Packets	
1	0	CacheHits	61
1	0	CacheMisses	376
1	1	CacheHits	178
1	1	CacheMisses	365
1	2	CacheHits	380
1	2	CacheMisses	367
1	3	CacheHits	5
1	3	CacheMisses	375
1	4	CacheHits	0
1	4	CacheMisses	374
1	5	CacheHits	167
1	5	CacheMisses	366
1	6	CacheHits	78
1	6	CacheMisses	368
1	7	CacheHits	197
1	7	CacheMisses	363
1	8	CacheHits	139
1	8	CacheMisses	365
1	9	CacheHits	174
1	9	CacheMisses	369
1	10	CacheHits	196
1	10	CacheMisses	365
1	11	CacheHits	141
1	11	CacheMisses	366
1	12	CacheHits	230
1	12	CacheMisses	369
1	13	CacheHits	5
1	13	CacheMisses	376
1	14	CacheHits	347
1	14	CacheMisses	364
1	15	CacheHits	70
1	15	CacheMisses	373
1	16	CacheHits	327
1	16	CacheMisses	365
1	17	CacheHits	380
1	17	CacheMisses	366
1	18	CacheHits	0
1	18	CacheMisses	370
1	19	CacheHits	180
1	19	CacheMisses	366
1	20	CacheHits	0
1	20	CacheMisses	369
1	21	CacheHits	226
1	21	CacheMisses	368
1	22	CacheHits	208
1	22	CacheMisses	368
1	23	CacheHits	7
1	23	CacheMisses	366
1	24	CacheHits	105
1	24	CacheMisses	364
1	25	CacheHits	142
1	25	CacheMisses	364
1	26	CacheHits	0
1	26	CacheMisses	369
1	27	CacheHits	436
1	27	CacheMisses	363
1	28	CacheHits	0
1	28	CacheMisses	369
1	29	CacheHits	0
1	29	CacheMisses	377
1	30	CacheHits	265
1	30	CacheMisses	363
1	31	CacheHits	200
1	31	CacheMisses	369
1	32	CacheHits	0
1	32	CacheMisses	380
1	33	CacheHits	173
1	33	CacheMisses	366
1	34	CacheHits	207
1	34	CacheMisses	364
1	35	CacheHits	348
1	35	CacheMisses	365
1	36	CacheHits	197
1	36	CacheMisses	364
1	37	CacheHits	100
1	37	CacheMisses	365
1	38	CacheHits	214
1	38	CacheMisses	366
1	39	CacheHits	0
1	39	CacheMisses	367
1	40	CacheHits	223
1	40	CacheMisses	374
1	41	CacheHits	102
1	41	CacheMisses	370
1	42	CacheHits	208
1	42	CacheMisses	369
1	43	CacheHits	0
1	43	CacheMisses	370
1	44	CacheHits	29
1	44	CacheMisses	377
1	45	CacheHits	204
1	45	CacheMisses	366
1	46	CacheHits	155
1	46	CacheMisses	367
1	47	CacheHits	210
1	47	CacheMisses	364
1	48	CacheHits	134
1	48	CacheMisses	372
1	49	CacheHits	163
1	49	CacheMisses	363
2	0	CacheHits	299
2	0	CacheMisses	418
2	1	CacheHits	429
2	1	CacheMisses	433
2	2	CacheHits	827
2	2	CacheMisses	426
2	3	CacheHits	218
2	3	CacheMisses	420
2	4	CacheHits	187
2	4	CacheMisses	435
2	5	CacheHits	296
2	5	CacheMisses	428
2	6	CacheHits	226
2	6	CacheMisses	426
2	7	CacheHits	322
2	7	CacheMisses	431
2	8	CacheHits	359
2	8	CacheMisses	429
2	9	CacheHits	288
2	9	CacheMisses	424
2	10	CacheHits	420
2	10	CacheMisses	429
2	11	CacheHits	353
2	11	CacheMisses	430
2	12	CacheHits	328
2	12	CacheMisses	426
2	13	CacheHits	141
2	13	CacheMisses	417
2	14	CacheHits	623
2	14	CacheMisses	429
2	15	CacheHits	278
2	15	CacheMisses	420
2	16	CacheHits	932
2	16	CacheMisses	431
2	17	CacheHits	1058
2	17	CacheMisses	427
2	18	CacheHits	41
2	18	CacheMisses	438
2	19	CacheHits	469
2	19	CacheMisses	428
2	20	CacheHits	199
2	20	CacheMisses	424
2	21	CacheHits	475
2	21	CacheMisses	428
2	22	CacheHits	337
2	22	CacheMisses	425
2	23	CacheHits	236
2	23	CacheMisses	428
2	24	CacheHits	400
2	24	CacheMisses	430
2	25	CacheHits	388
2	25	CacheMisses	429
2	26	CacheHits	133
2	26	CacheMisses	424
2	27	CacheHits	875
2	27	CacheMisses	430
2	28	CacheHits	25
2	28	CacheMisses	439
2	29	CacheHits	27
2	29	CacheMisses	424
2	30	CacheHits	632
2	30	CacheMisses	431
2	31	CacheHits	469
2	31	CacheMisses	425
2	32	CacheHits	92
2	32	CacheMisses	417
2	33	CacheHits	614
2	33	CacheMisses	427
2	34	CacheHits	347
2	34	CacheMisses	429
2	35	CacheHits	544
2	35	CacheMisses	430
2	36	CacheHits	441
2	36	CacheMisses	431
2	37	CacheHits	396
2	37	CacheMisses	429
2	38	CacheHits	354
2	38	CacheMisses	427
2	39	CacheHits	13
2	39	CacheMisses	433
2	40	CacheHits	388
2	40	CacheMisses	421
2	41	CacheHits	276
2	41	CacheMisses	424
2	42	CacheHits	475
2	42	CacheMisses	424
2	43	CacheHits	130
2	43	CacheMisses	423
2	44	CacheHits	237
2	44	CacheMisses	416
2	45	CacheHits	334
2	45	CacheMisses	428
2	46	CacheHits	256
2	46	CacheMisses	426
2	47	CacheHits	439
2	47	CacheMisses	430
2	48	CacheHits	389
2	48	CacheMisses	421
2	49	CacheHits	266
2	49	CacheMisses	434
3	0	CacheHits	473
3	0	CacheMisses	322
3	1	CacheHits	423
