Time	Node	Type	Packets	
1	50	CacheHits	309
1	50	CacheMisses	364
1	51	CacheHits	5
1	51	CacheMisses	367
1	52	CacheHits	232
1	52	CacheMisses	365
1	53	CacheHits	142
1	53	CacheMisses	366
1	54	CacheHits	157
1	54	CacheMisses	363
1	55	CacheHits	171
1	55	CacheMisses	365
1	56	CacheHits	274
1	56	CacheMisses	363
1	57	CacheHits	0
1	57	CacheMisses	373
1	58	CacheHits	157
1	58	CacheMisses	363
1	59	CacheHits	0
1	59	CacheMisses	369
1	60	CacheHits	191
1	60	CacheMisses	369
1	61	CacheHits	380
1	61	CacheMisses	363
1	62	CacheHits	207
1	62	CacheMisses	368
1	63	CacheHits	219
1	63	CacheMisses	367
1	64	CacheHits	0
1	64	CacheMisses	379
1	65	CacheHits	226
1	65	CacheMisses	368
1	66	CacheHits	225
1	66	CacheMisses	365
1	67	CacheHits	91
1	67	CacheMisses	367
1	68	CacheHits	198
1	68	CacheMisses	365
1	69	CacheHits	47
1	69	CacheMisses	364
1	70	CacheHits	143
1	70	CacheMisses	368
1	71	CacheHits	223
1	71	CacheMisses	367
1	72	CacheHits	302
1	72	CacheMisses	364
1	73	CacheHits	196
1	73	CacheMisses	366
1	74	CacheHits	11
1	74	CacheMisses	373
1	75	CacheHits	0
1	75	CacheMisses	369
1	76	CacheHits	14
1	76	CacheMisses	370
1	77	CacheHits	98
1	77	CacheMisses	365
1	78	CacheHits	86
1	78	CacheMisses	366
1	79	CacheHits	125
1	79	CacheMisses	365
1	80	CacheHits	318
1	80	CacheMisses	367
1	81	CacheHits	171
1	81	CacheMisses	369
1	82	CacheHits	236
1	82	CacheMisses	372
1	83	CacheHits	248
1	83	CacheMisses	365
1	84	CacheHits	209
1	84	CacheMisses	368
1	85	CacheHits	167
1	85	CacheMisses	365
1	86	CacheHits	141
1	86	CacheMisses	363
1	87	CacheHits	323
1	87	CacheMisses	363
1	88	CacheHits	297
1	88	CacheMisses	365
1	89	CacheHits	94
1	89	CacheMisses	368
1	90	CacheHits	102
1	90	CacheMisses	367
1	91	CacheHits	253
1	91	CacheMisses	365
1	92	CacheHits	237
1	92	CacheMisses	369
1	93	CacheHits	291
1	93	CacheMisses	363
1	94	CacheHits	53
1	94	CacheMisses	366
1	95	CacheHits	0
1	95	CacheMisses	372
1	96	CacheHits	0
1	96	CacheMisses	371
1	97	CacheHits	280
1	97	CacheMisses	364
1	98	CacheHits	314
1	98	CacheMisses	363
1	99	CacheHits	399
1	99	CacheMisses	363
2	50	CacheHits	657
2	50	CacheMisses	429
2	51	CacheHits	269
2	51	CacheMisses	429
2	52	CacheHits	584
2	52	CacheMisses	428
2	53	CacheHits	444
2	53	CacheMisses	427
2	54	CacheHits	410
2	54	CacheMisses	430
2	55	CacheHits	433
2	55	CacheMisses	429
2	56	CacheHits	379
2	56	CacheMisses	430
2	57	CacheHits	76
2	57	CacheMisses	423
2	58	CacheHits	263
2	58	CacheMisses	431
2	59	CacheHits	13
2	59	CacheMisses	435
2	60	CacheHits	281
2	60	CacheMisses	427
2	61	CacheHits	682
2	61	CacheMisses	431
2	62	CacheHits	484
2	62	CacheMisses	427
2	63	CacheHits	444
2	63	CacheMisses	426
2	64	CacheHits	93
2	64	CacheMisses	418
2	65	CacheHits	490
2	65	CacheMisses	426
2	66	CacheHits	325
2	66	CacheMisses	428
2	67	CacheHits	259
2	67	CacheMisses	426
2	68	CacheHits	465
2	68	CacheMisses	428
2	69	CacheHits	304
2	69	CacheMisses	432
2	70	CacheHits	429
2	70	CacheMisses	426
2	71	CacheHits	374
2	71	CacheMisses	429
2	72	CacheHits	497
2	72	CacheMisses	429
2	73	CacheHits	416
2	73	CacheMisses	428
2	74	CacheHits	392
2	74	CacheMisses	433
2	75	CacheHits	6
2	75	CacheMisses	433
2	76	CacheHits	98
2	76	CacheMisses	423
2	77	CacheHits	285
2	77	CacheMisses	431
2	78	CacheHits	292
2	78	CacheMisses	429
2	79	CacheHits	269
2	79	CacheMisses	430
2	80	CacheHits	906
2	80	CacheMisses	426
2	81	CacheHits	251
2	81	CacheMisses	425
2	82	CacheHits	479
2	82	CacheMisses	421
2	83	CacheHits	517
2	83	CacheMisses	430
2	84	CacheHits	440
2	84	CacheMisses	426
2	85	CacheHits	537
2	85	CacheMisses	430
2	86	CacheHits	358
2	86	CacheMisses	430
2	87	CacheHits	553
2	87	CacheMisses	430
2	88	CacheHits	629
2	88	CacheMisses	428
2	89	CacheHits	355
2	89	CacheMisses	425
2	90	CacheHits	354
2	90	CacheMisses	426
2	91	CacheHits	372
2	91	CacheMisses	429
2	92	CacheHits	341
2	92	CacheMisses	424
2	93	CacheHits	765
2	93	CacheMisses	430
2	94	CacheHits	235
2	94	CacheMisses	428
2	95	CacheHits	23
2	95	CacheMisses	439
2	96	CacheHits	32
2	96	CacheMisses	437
2	97	CacheHits	711
2	97	CacheMisses	429
2	98	CacheHits	526
2	98	CacheMisses	433
2	99	CacheHits	829
2	99	CacheMisses	430
3	50	CacheHits	620
3	50	CacheMisses	320
3	51	CacheHits	331
3	51	CacheMisses	318
3	52	CacheHits	470
3	52	CacheMisses	320
3	53	CacheHits	440
3	53	CacheMisses	320
3	54	CacheHits	432
3	54	CacheMisses	320
3	55	CacheHits	407
3	55	CacheMisses	321
3	56	CacheHits	391
3	56	CacheMisses	320
3	57	CacheHits	202
3	57	CacheMisses	317
3	58	CacheHits	235
3	58	CacheMisses	320
3	59	CacheHits	32
3	59	CacheMisses	317
3	60	CacheHits	307
3	60	CacheMisses	318
3	61	CacheHits	672
3	61	CacheMisses	319
3	62	CacheHits	492
3	62	CacheMisses	321
3	63	CacheHits	452
3	63	CacheMisses	322
3	64	CacheHits	298
3	64	CacheMisses	317
3	65	CacheHits	573
3	65	CacheMisses	320
3	66	CacheHits	350
3	66	CacheMisses	322
3	67	CacheHits	339
3	67	CacheMisses	321
3	68	CacheHits	471
3	68	CacheMisses	320
3	69	CacheHits	408
3	69	CacheMisses	320
3	70	CacheHits	468
3	70	CacheMisses	319
3	71	CacheHits	354
3	71	CacheMisses	319
3	72	CacheHits	542
3	72	CacheMisses	321
3	73	CacheHits	520
3	73	CacheMisses	321
3	74	CacheHits	366
3	74	CacheMisses	314
3	75	CacheHits	16
3	75	CacheMisses	317
3	76	CacheHits	197
3	76	CacheMisses	320
3	77	CacheHits	303
3	77	CacheMisses	317
3	78	CacheHits	282
3	78	CacheMisses	320
3	79	CacheHits	254
3	79	CacheMisses	318
3	80	CacheHits	896
3	80	CacheMisses	322
3	81	CacheHits	252
3	81	CacheMisses	321
3	82	CacheHits	589
3	82	CacheMisses	322
3	83	CacheHits	555
3	83	CacheMisses	319
3	84	CacheHits	479
3	84	CacheMisses	322
3	85	CacheHits	723
3	85	CacheMisses	319
3	86	CacheHits	316
3	86	CacheMisses	321
3	87	CacheHits	593
3	87	CacheMisses	320
3	88	CacheHits	720
3	88	CacheMisses	320
3	89	CacheHits	358
3	89	CacheMisses	322
3	90	CacheHits	309
3	90	CacheMisses	320
3	91	CacheHits	388
3	91	CacheMisses	319
3	92	CacheHits	446
3	92	CacheMisses	320
3	93	CacheHits	564
3	93	CacheMisses	320
3	94	CacheHits	317
3	94	CacheMisses	320
3	95	CacheHits	172
3	95	CacheMisses	313
3	96	CacheHits	218
3	96	CacheMisses	311
3	97	CacheHits	790
3	97	CacheMisses	320
3	98	CacheHits	506
3	98	CacheMisses	317
3	99	CacheHits	736
3	99	CacheMisses	321
4	50	CacheHits	595
4	50	CacheMisses	316
4	51	CacheHits	349
4	51	CacheMisses	316
4	52	CacheHits	440
4	52	CacheMisses	316
4	53	CacheHits	399
4	53	CacheMisses	317
4	54	CacheHits	362
4	54	CacheMisses	317
4	55	CacheHits	403
4	55	CacheMisses	315
4	56	CacheHits	338
4	56	CacheMisses	318
4	57	CacheHits	177
4	57	CacheMisses	317
4	58	CacheHits	229
4	58	CacheMisses	315
4	59	CacheHits	134
4	59	CacheMisses	309
4	60	CacheHits	255
4	60	CacheMisses	316
4	61	CacheHits	493
4	61	CacheMisses	316
4	62	CacheHits	424
4	62	CacheMisses	314
4	63	CacheHits	417
4	63	CacheMisses	315
4	64	CacheHits	508
4	64	CacheMisses	316
4	65	CacheHits	557
4	65	CacheMisses	315
4	66	CacheHits	298
4	66	CacheMisses	315
4	67	CacheHits	325
4	67	CacheMisses	315
4	68	CacheHits	491
4	68	CacheMisses	316
4	69	CacheHits	347
4	69	CacheMisses	313
4	70	CacheHits	401
4	70	CacheMisses	316
4	71	CacheHits	312
4	71	CacheMisses	315
4	72	CacheHits	494
4	72	CacheMisses	315
4	73	CacheHits	474
4	73	CacheMisses	315
4	74	CacheHits	274
4	74	CacheMisses	311
4	75	CacheHits	118
4	75	CacheMisses	311
4	76	CacheHits	167
4	76	CacheMisses	316
4	77	CacheHits	236
4	77	CacheMisses	317
4	78	CacheHits	263
4	78	CacheMisses	314
4	79	CacheHits	246
4	79	CacheMisses	316
4	80	CacheHits	697
4	80	CacheMisses	316
4	81	CacheHits	186
4	81	CacheMisses	314
4	82	CacheHits	531
4	82	CacheMisses	314
4	83	CacheHits	531
4	83	CacheMisses	315
4	84	CacheHits	405
4	84	CacheMisses	314
4	85	CacheHits	637
4	85	CacheMisses	315
4	86	CacheHits	202
4	86	CacheMisses	318
4	87	CacheHits	454
4	87	CacheMisses	316
4	88	CacheHits	630
4	88	CacheMisses	316
4	89	CacheHits	300
4	89	CacheMisses	314
4	90	CacheHits	221
4	90	CacheMisses	319
4	91	CacheHits	363
4	91	CacheMisses	317
4	92	CacheHits	367
4	92	CacheMisses	317
4	93	CacheHits	331
4	93	CacheMisses	317
4	94	CacheHits	291
4	94	CacheMisses	316
4	95	CacheHits	248
4	95	CacheMisses	308
4	96	CacheHits	238
4	96	CacheMisses	312
4	97	CacheHits	858
4	97	CacheMisses	316
4	98	CacheHits	466
4	98	CacheMisses	317
4	99	CacheHits	659
4	99	CacheMisses	315
5	50	CacheHits	477
5	50	CacheMisses	238
5	51	CacheHits	380
5	51	CacheMisses	237
