Time,Node,HopCount,EnergyRemaining,EnergyPercent
0,0,0,1.3475,54
0,1,0,1.617,65
0,2,0,0.196,7
0,3,0,1.9845,81
0,4,0,1.568,63
0,5,0,2.0335,83
0,6,0,0.539,21
0,7,0,1.9845,81
0,8,0,0.833,34
0,9,0,1.4455,59
0,10,0,1.519,62
0,11,0,1.372,55
0,12,0,0.588,23
0,13,0,1.127,46
0,14,0,0.2695,10
0,15,0,1.862,76
0,16,0,0.6125,25
0,17,0,0.294,11
0,18,0,2.205,89
0,19,0,1.7885,73
0,20,0,0.931,38
0,21,0,1.715,70
0,22,0,1.911,77
0,23,0,1.274,52
0,24,0,1.617,65
0,25,0,0.1225,5
0,26,0,2.009,82
0,27,0,0.1715,6
0,28,0,1.9845,81
0,29,0,0.9065,36
0,30,0,0.4165,17
0,31,0,2.4255,98
0,32,0,2.4255,98
0,33,0,0.4655,19
0,34,0,1.862,76
0,35,0,0.4165,17
0,36,0,2.156,87
0,37,0,0.882,35
0,38,0,1.029,41
0,39,0,1.3475,54
0,40,0,1.0045,41
0,41,0,1.323,54
0,42,0,2.303,94
0,43,0,1.862,76
0,44,0,0.539,21
0,45,0,0.5635,23
0,46,0,2.2295,90
0,47,0,1.617,65
0,48,0,1.617,65
0,49,0,1.078,43
0,50,0,0.4655,19
0,51,0,1.5435,62
0,52,0,0.343,13
0,53,0,1.617,65
0,54,0,0.392,15
0,55,0,0.588,23
0,56,0,0.539,21
0,57,0,1.2985,53
0,58,0,2.352,95
0,59,0,0.6615,27
0,60,0,0.735,30
0,61,0,0.147,5
0,62,0,1.9355,79
0,63,0,2.401,97
0,64,0,1.0045,41
0,65,0,1.862,76
0,66,0,1.8375,74
0,67,0,1.813,73
0,68,0,0.4655,19
0,69,0,1.2495,51
0,70,0,1.911,77
0,71,0,0.98,40
0,72,0,0.3675,15
0,73,0,0.9065,36
0,74,0,1.764,71
0,75,0,2.156,87
0,76,0,1.029,41
0,77,0,1.225,50
0,78,0,2.4255,98
0,79,0,2.352,95
0,80,0,1.568,63
0,81,0,2.107,86
0,82,0,2.303,94
0,83,0,1.7885,73
0,84,0,0.833,34
0,85,0,0.637,26
0,86,0,1.911,77
0,87,0,0.392,15
0,88,0,0.3185,13
0,89,0,2.058,83
0,90,0,0.6615,27
0,91,0,1.176,47
0,92,0,1.47,60
0,93,0,1.7395,70
0,94,0,1.0535,43
0,95,0,1.96,80
0,96,0,1.176,47
0,97,0,0.2695,10
0,98,0,1.9845,81
0,99,0,0.147,5
60,3,0,1.97885,80
60,6,0,0.533504,21
60,8,0,0.827583,33
60,10,0,1.51349,61
60,18,0,2.19949,89
60,19,0,1.78295,72
60,21,0,1.70948,69
60,30,0,0.410939,16
60,31,0,2.41994,98
60,32,0,2.41996,98
60,34,0,1.85651,75
60,40,0,0.999095,40
60,41,0,1.31748,53
60,48,0,1.6115,65
60,51,0,1.53804,62
60,54,0,0.386467,15
60,55,0,0.582469,23
60,56,0,0.533438,21
60,59,0,0.655939,26
60,60,0,0.729522,29
60,62,0,1.93001,78
60,66,0,1.83204,74
60,67,0,1.8075,73
60,68,0,0.459809,18
60,80,0,1.56243,63
60,81,0,2.10144,85
60,83,0,1.78295,72
60,85,0,0.631459,25
60,88,0,0.312863,12
60,92,0,1.46449,59
60,96,0,1.17053,47
